model,depth,n_estimators,train_error,test_error
"RandomForestClassifier(max_depth=1, n_estimators=500, random_state=42)",1,"[500, 700]",1.6886483579118672,1.6822972318552945
"RandomForestClassifier(max_depth=2, n_estimators=500, random_state=42)",2,"[500, 700]",1.6328098730846208,1.624866065571324
"RandomForestClassifier(max_depth=3, n_estimators=500, random_state=42)",3,"[500, 700]",1.589856274895686,1.5798072560248462
"RandomForestClassifier(max_depth=4, n_estimators=500, random_state=42)",4,"[500, 700]",1.5698898750246237,1.5597941056360747
"RandomForestClassifier(max_depth=5, n_estimators=500, random_state=42)",5,"[500, 700]",1.5442185296890019,1.5333216945867567
"RandomForestClassifier(max_depth=6, n_estimators=500, random_state=42)",6,"[500, 700]",1.5216252034679938,1.5141752819368264
"RandomForestClassifier(max_depth=7, n_estimators=500, random_state=42)",7,"[500, 700]",1.502666072015814,1.4967177136286267
"RandomForestClassifier(max_depth=8, n_estimators=500, random_state=42)",8,"[500, 700]",1.4870692590753838,1.4845069922607481
"RandomForestClassifier(max_depth=9, n_estimators=500, random_state=42)",9,"[500, 700]",1.4782518495389452,1.4794795341184095
"RandomForestClassifier(max_depth=10, n_estimators=500, random_state=42)",10,"[500, 700]",1.4634145252862933,1.4670904853056432
"RandomForestClassifier(max_depth=11, n_estimators=500, random_state=42)",11,"[500, 700]",1.4416244865277088,1.4516973280793257
"RandomForestClassifier(max_depth=12, n_estimators=500, random_state=42)",12,"[500, 700]",1.4168733865618435,1.4363023060498143
"RandomForestClassifier(max_depth=13, n_estimators=500, random_state=42)",13,"[500, 700]",1.3802264348361704,1.4121232359674263
"RandomForestClassifier(max_depth=14, n_estimators=500, random_state=42)",14,"[500, 700]",1.3519540726540653,1.3988397930843006
"RandomForestClassifier(max_depth=15, n_estimators=500, random_state=42)",15,"[500, 700]",1.3237602477379766,1.3880634378992514
"RandomForestClassifier(max_depth=16, n_estimators=500, random_state=42)",16,"[500, 700]",1.288415359012853,1.3709860292886364
"RandomForestClassifier(max_depth=17, n_estimators=500, random_state=42)",17,"[500, 700]",1.2599966364351771,1.359054688553266
"RandomForestClassifier(max_depth=18, n_estimators=500, random_state=42)",18,"[500, 700]",1.2355353971847984,1.3504866360212902
"RandomForestClassifier(max_depth=19, n_estimators=500, random_state=42)",19,"[500, 700]",1.2149834616629,1.3452477712814592
"RandomForestClassifier(max_depth=20, n_estimators=500, random_state=42)",20,"[500, 700]",1.1984743276739733,1.343435343655512
